,Idade,Genero,Estados,Cargo,Carreira,Salario,Experiencia,Raça,Região
577,29.0,Masculino,Minas Gerais (MG),Analista de Dados,Sênior,10000.0,de 4 a 6 anos,Parda,Sudeste
578,24.0,Masculino,Ceará (CE),Analista de BI,Júnior,3500.0,Até 2 anos,Branca,Nordeste
579,31.0,Feminino,São Paulo (SP),,,27500.0,de 4 a 6 anos,Branca,Sudeste
580,,,,,,,,,Desconhecida
581,44.0,Masculino,Bahia (BA),Outra opção,Sênior,40000.0,Mais de 10 anos,Branca,Nordeste
582,43.0,Masculino,Mato Grosso do Sul (MS),Cientista de dados,Sênior,22500.0,de 7 a 10 anos,Branca,Centro-Oeste
583,36.0,Masculino,São Paulo (SP),,,18000.0,Mais de 10 anos,Parda,Sudeste
584,34.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,14000.0,de 4 a 6 anos,Branca,Sudeste
585,42.0,Masculino,Pará (PA),,,,,Parda,Norte
586,35.0,Masculino,São Paulo (SP),,,,,Branca,Sudeste
587,35.0,Masculino,São Paulo (SP),,,,,Preta,Sudeste
588,37.0,Masculino,São Paulo (SP),Cientista de dados,Júnior,10000.0,Até 2 anos,Branca,Sudeste
589,28.0,Masculino,São Paulo (SP),Cientista de dados,Sênior,14000.0,de 4 a 6 anos,Branca,Sudeste
590,31.0,Masculino,Rio Grande do Sul (RS),Analista de BI,Sênior,3500.0,de 3 a 4 anos,Branca,
591,28.0,Masculino,Espírito Santo (ES),Analista de BI,Júnior,1500.0,Até 2 anos,Branca,Sudeste
592,27.0,Feminino,São Paulo (SP),Analista de Dados,Sênior,10000.0,de 3 a 4 anos,Branca,Sudeste
593,25.0,Masculino,São Paulo (SP),,,,,Branca,Sudeste
594,30.0,Masculino,São Paulo (SP),Cientista de dados,Pleno,14000.0,de 4 a 6 anos,Branca,Sudeste
595,,,,,,,,,Desconhecida
596,30.0,Masculino,Minas Gerais (MG),Engenheiro de dados,Pleno,10000.0,de 3 a 4 anos,Parda,Sudeste
597,42.0,Feminino,Ceará (CE),Analista de BI,Sênior,5000.0,Mais de 10 anos,Branca,Nordeste
598,30.0,Masculino,Minas Gerais (MG),Analista de Dados,Pleno,3500.0,Até 2 anos,Parda,Sudeste
599,27.0,Feminino,Rio de Janeiro (RJ),Analista de Dados,Sênior,10000.0,de 4 a 6 anos,Branca,Sudeste
600,32.0,Masculino,São Paulo (SP),Analista de Dados,Pleno,10000.0,de 4 a 6 anos,Branca,Sudeste
601,22.0,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Pleno,5000.0,de 3 a 4 anos,Branca,Sudeste
602,29.0,Masculino,Minas Gerais (MG),Cientista de dados,Sênior,10000.0,de 4 a 6 anos,Branca,Sudeste
603,50.0,Masculino,Pernambuco (PE),,,1500.0,Até 2 anos,Parda,Nordeste
604,36.0,Masculino,São Paulo (SP),Outra opção,Sênior,14000.0,de 3 a 4 anos,Branca,Sudeste
605,18.0,Masculino,Paraná (PR),Cientista de dados,Júnior,1500.0,Até 2 anos,Branca,
606,25.0,Masculino,Rio de Janeiro (RJ),Analista de Dados,Júnior,5000.0,Até 2 anos,Branca,Sudeste
607,35.0,Masculino,São Paulo (SP),,,10000.0,Até 2 anos,Branca,Sudeste
608,32.0,Feminino,São Paulo (SP),Analista de Dados,Sênior,10000.0,de 7 a 10 anos,Branca,Sudeste
609,27.0,Masculino,São Paulo (SP),,,27500.0,de 7 a 10 anos,Parda,Sudeste
610,35.0,Masculino,São Paulo (SP),,,,,Preta,Sudeste
611,27.0,Masculino,Paraná (PR),Analista de BI,Júnior,5000.0,Até 2 anos,Parda,
612,42.0,Masculino,São Paulo (SP),Engenheiro de dados,Pleno,7000.0,de 3 a 4 anos,Branca,Sudeste
613,41.0,Masculino,São Paulo (SP),Analista de BI,Sênior,22500.0,Mais de 10 anos,Branca,Sudeste
614,33.0,Masculino,Minas Gerais (MG),Engenheiro de dados,Pleno,10000.0,de 3 a 4 anos,Parda,Sudeste
615,33.0,Feminino,Bahia (BA),Engenheiro de dados,Sênior,10000.0,Mais de 10 anos,Parda,Nordeste
616,35.0,Masculino,São Paulo (SP),Outra opção,Sênior,22500.0,de 3 a 4 anos,Parda,Sudeste
617,35.0,Masculino,São Paulo (SP),Analista de BI,Sênior,10000.0,Até 2 anos,Branca,Sudeste
618,33.0,Masculino,São Paulo (SP),,,10000.0,de 4 a 6 anos,Branca,Sudeste
619,48.0,Masculino,São Paulo (SP),,,10000.0,Até 2 anos,Branca,Sudeste
620,40.0,Feminino,São Paulo (SP),,,,,Branca,Sudeste
621,33.0,Masculino,Rio Grande do Sul (RS),Outra opção,Sênior,10000.0,Mais de 10 anos,Branca,
622,23.0,Masculino,Paraná (PR),Analista de BI,Júnior,2500.0,Até 2 anos,Preta,
623,22.0,Feminino,São Paulo (SP),Outra opção,Pleno,5000.0,de 4 a 6 anos,Parda,Sudeste
624,30.0,Masculino,Minas Gerais (MG),Analista de BI,Pleno,3500.0,de 3 a 4 anos,Parda,Sudeste
625,41.0,Masculino,São Paulo (SP),Engenheiro de dados,Sênior,10000.0,de 4 a 6 anos,Parda,Sudeste
626,22.0,Masculino,São Paulo (SP),Analista de BI,Júnior,2500.0,Até 2 anos,Parda,Sudeste
627,37.0,Masculino,Bahia (BA),Outra opção,Sênior,14000.0,Mais de 10 anos,Branca,Nordeste
628,33.0,Masculino,São Paulo (SP),Analista de BI,Sênior,10000.0,de 7 a 10 anos,Branca,Sudeste
629,,,,,,,,,Desconhecida
630,38.0,Masculino,Paraná (PR),Analista de BI,Júnior,7000.0,Mais de 10 anos,Parda,
631,27.0,Masculino,Rio de Janeiro (RJ),Analista de BI,Sênior,7000.0,Até 2 anos,Branca,Sudeste
632,33.0,Masculino,São Paulo (SP),Cientista de dados,Sênior,10000.0,de 3 a 4 anos,Branca,Sudeste
633,,,,,,,,,Desconhecida
634,,,,,,,,,Desconhecida
635,,,,,,,,,Desconhecida
636,22.0,Feminino,Minas Gerais (MG),Analista de BI,Júnior,1500.0,Até 2 anos,Parda,Sudeste
