,Unnamed: 0,Idade,Genero,Estados,Cargo,Carreira,Salario,Experiencia,Raça,Região
1333,1333,34.0,Masculino,São Paulo (SP),Analista de BI,Sênior,7000.0,de 3 a 4 anos,Branca,Sudeste
1334,1334,29.0,Masculino,São Paulo (SP),Cientista de dados,Pleno,10000.0,de 3 a 4 anos,Branca,Sudeste
1335,1335,36.0,Masculino,,Analista de BI,Pleno,18000.0,de 3 a 4 anos,Amarela,Desconhecida
1336,1336,46.0,Masculino,Paraná (PR),Analista de Dados,Pleno,10000.0,de 3 a 4 anos,Branca,Sul
1337,1337,26.0,Feminino,Paraná (PR),Analista de Dados,Sênior,10000.0,de 4 a 6 anos,Branca,Sul
1338,1338,29.0,Feminino,,,,,,Branca,Desconhecida
1339,1339,25.0,Masculino,Bahia (BA),,,,,Preta,Nordeste
1340,1340,,,,,,,,,Desconhecida
1341,1341,35.0,Masculino,São Paulo (SP),Analista de BI,Pleno,10000.0,de 3 a 4 anos,Parda,Sudeste
1342,1342,28.0,Masculino,Rio de Janeiro (RJ),Analista de BI,Júnior,2500.0,Até 2 anos,Branca,Sudeste
1343,1343,35.0,Masculino,São Paulo (SP),,,22500.0,de 7 a 10 anos,Branca,Sudeste
1344,1344,36.0,Feminino,Santa Catarina (SC),,,,,Branca,Sul
1345,1345,36.0,Masculino,São Paulo (SP),,,22500.0,de 7 a 10 anos,Amarela,Sudeste
1346,1346,26.0,Masculino,Santa Catarina (SC),Outra opção,Sênior,18000.0,de 7 a 10 anos,Branca,Sul
1347,1347,29.0,Masculino,Rio de Janeiro (RJ),Analista de Dados,Júnior,3500.0,Até 2 anos,Parda,Sudeste
1348,1348,43.0,Feminino,São Paulo (SP),,,14000.0,de 3 a 4 anos,Branca,Sudeste
1349,1349,,,,,,,,,Desconhecida
1350,1350,35.0,Masculino,Minas Gerais (MG),Analista de BI,Pleno,5000.0,de 3 a 4 anos,Branca,Sudeste
1351,1351,31.0,Masculino,Rio de Janeiro (RJ),Engenheiro de dados,Pleno,10000.0,de 3 a 4 anos,Parda,Sudeste
1352,1352,29.0,Masculino,Rio Grande do Sul (RS),,,14000.0,de 4 a 6 anos,Parda,Sul
1353,1353,29.0,Masculino,Distrito Federal (DF),,,10000.0,de 4 a 6 anos,Parda,Centro-Oeste
1354,1354,29.0,Feminino,Minas Gerais (MG),Cientista de dados,Pleno,7000.0,Até 2 anos,Preta,Sudeste
1355,1355,26.0,Masculino,São Paulo (SP),Analista de BI,Pleno,5000.0,Até 2 anos,Branca,Sudeste
1356,1356,27.0,Masculino,Paraná (PR),Outra opção,Júnior,3500.0,de 4 a 6 anos,Amarela,Sul
1357,1357,31.0,Feminino,Santa Catarina (SC),Analista de Dados,Sênior,22500.0,de 3 a 4 anos,Branca,Sul
1358,1358,25.0,Masculino,São Paulo (SP),Analista de Dados,Sênior,10000.0,de 3 a 4 anos,Branca,Sudeste
1359,1359,24.0,Masculino,Rio Grande do Sul (RS),Outra opção,Pleno,3500.0,Até 2 anos,Branca,Sul
1360,1360,34.0,Feminino,São Paulo (SP),Analista de Dados,Júnior,5000.0,Até 2 anos,Amarela,Sudeste
1361,1361,30.0,Masculino,Rio Grande do Sul (RS),Analista de Dados,Sênior,10000.0,Mais de 10 anos,Branca,Sul
1362,1362,32.0,Masculino,São Paulo (SP),,,14000.0,de 3 a 4 anos,Branca,Sudeste
1363,1363,44.0,Masculino,Rio de Janeiro (RJ),Outra opção,Sênior,18000.0,de 3 a 4 anos,Branca,Sudeste
